Altium Designer Pick and Place Locations
C:\Users\lucas\OneDrive\Desktop\labsatiot_lorawan\HW\lorawan_gateway\Project Outputs for lorawan_gateway\Pick Place for pci_104.csv

========================================================================================================================
File Design Information:

Date:       21/07/22
Time:       14:56
Revision:   2c712dcdc270954347329f963903cee351fa45ba
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C54B","1uF 10V X8R","TopLayer","C_0603","14,2500mm","35,0000mm","180","Capacitor"
"C54A","1uF 10V X8R","TopLayer","C_0603","14,2500mm","78,5000mm","180","Capacitor"
"C53B","100nF 16V X8R","TopLayer","C_0603","22,7500mm","35,0000mm","180","Capacitor"
"C53A","100nF 16V X8R","TopLayer","C_0603","22,7500mm","78,5000mm","180","Capacitor"
"C52B","1uF 10V X8R","TopLayer","C_0603","18,5000mm","33,2500mm","0","Capacitor"
"C52A","1uF 10V X8R","TopLayer","C_0603","18,5000mm","76,7500mm","0","Capacitor"
"C51B","1uF 10V X8R","TopLayer","C_0603","14,3000mm","31,5000mm","0","Capacitor"
"C51A","1uF 10V X8R","TopLayer","C_0603","14,3000mm","75,0000mm","0","Capacitor"
"C50B","100nF 16V X8R","TopLayer","C_0603","34,6000mm","12,2500mm","180","Capacitor"
"C50A","100nF 16V X8R","TopLayer","C_0603","34,6000mm","55,7500mm","180","Capacitor"
"C49B","4.7uF 16V X8R","TopLayer","C_0603","34,6000mm","15,7500mm","0","Capacitor"
"C49A","4.7uF 16V X8R","TopLayer","C_0603","34,6000mm","59,2500mm","0","Capacitor"
"C48B","10uF 10V X8R","TopLayer","C_0603","27,0000mm","15,7500mm","180","Capacitor"
"C48A","10uF 10V X8R","TopLayer","C_0603","27,0000mm","59,2500mm","180","Capacitor"
"C47B","56pF 50V C0G","TopLayer","C_0603","65,2500mm","17,5000mm","180","Capacitor"
"C47A","56pF 50V C0G","TopLayer","C_0603","65,2500mm","61,0000mm","180","Capacitor"
"C46B","56pF 50V C0G","TopLayer","C_0603","69,5000mm","15,7500mm","0","Capacitor"
"C46A","56pF 50V C0G","TopLayer","C_0603","69,5000mm","59,2500mm","0","Capacitor"
"C45B","56pF 50V C0G","TopLayer","C_0603","65,2500mm","21,0000mm","180","Capacitor"
"C45A","56pF 50V C0G","TopLayer","C_0603","65,2500mm","64,5000mm","180","Capacitor"
"C44B","GJM0335C1H1R8WB01","TopLayer","C_0603","78,0000mm","21,1000mm","270","Capacitor"
"C44A","GJM0335C1H1R8WB01","TopLayer","C_0603","77,1364mm","63,3364mm","45","Capacitor"
"C43B","56pF 50V C0G","TopLayer","C_0603","66,7500mm","22,9699mm","0","Capacitor"
"C43A","56pF 50V C0G","TopLayer","C_0603","66,7500mm","66,4699mm","0","Capacitor"
"C42B","GJM0335C1H2R1BB01","TopLayer","C_0402","75,5000mm","22,0000mm","0","Capacitor"
"C42A","GJM0335C1H2R1BB01","TopLayer","C_0402","75,0000mm","64,0000mm","315","Capacitor"
"C41B","GRM0335C1H560FA01","TopLayer","C_0603","82,2500mm","26,2500mm","270","Capacitor"
"C41A","GRM0335C1H560FA01","TopLayer","C_0603","78,9000mm","58,8000mm","90","Capacitor"
"C40B","56pF 50V C0G","TopLayer","C_0603","66,2500mm","25,5000mm","315","Capacitor"
"C40A","56pF 50V C0G","TopLayer","C_0603","66,2500mm","69,0000mm","315","Capacitor"
"C39B","GJM0335C1H2R4WB01","TopLayer","C_0603","74,5000mm","24,6500mm","90","Capacitor"
"C39A","GJM0335C1H2R4WB01","TopLayer","C_0603","74,5000mm","68,1500mm","90","Capacitor"
"C38B","GRM0335C1H100FA01","TopLayer","C_0603","78,1500mm","27,0000mm","0","Capacitor"
"C38A","GRM0335C1H100FA01","TopLayer","C_0603","78,1500mm","70,5000mm","0","Capacitor"
"C37B","GRM1555C2A121GE01","TopLayer","C_0603","69,5000mm","31,5000mm","180","Capacitor"
"C37A","GRM1555C2A121GE01","TopLayer","C_0603","69,5000mm","75,0000mm","180","Capacitor"
"C36B","GJM1555C1H330GB01","TopLayer","C_0603","73,6500mm","28,5000mm","0","Capacitor"
"C36A","GJM1555C1H330GB01","TopLayer","C_0603","73,6500mm","72,0000mm","0","Capacitor"
"C35B","1nF 100V X8R","TopLayer","C_0603","73,7000mm","31,5000mm","0","Capacitor"
"C35A","1nF 100V X8R","TopLayer","C_0603","73,7000mm","75,0000mm","0","Capacitor"
"C34B","10nF 25V X8R","TopLayer","C_0603","69,5000mm","30,0000mm","180","Capacitor"
"C34A","10nF 25V X8R","TopLayer","C_0603","69,5000mm","73,5000mm","180","Capacitor"
"C33B","4.7uF 16V X8R","TopLayer","C_0603","69,5000mm","28,5000mm","180","Capacitor"
"C33A","4.7uF 16V X8R","TopLayer","C_0603","69,5000mm","72,0000mm","180","Capacitor"
"C32B","100nF X8R","TopLayer","C_0603","45,2120mm","12,2800mm","90","Capacitor"
"C32A","100nF X8R","TopLayer","C_0603","45,2120mm","55,8800mm","90","Capacitor"
"C31B","470nF X8R","TopLayer","C_0603","40,9460mm","12,1439mm","90","Capacitor"
"C31A","470nF X8R","TopLayer","C_0603","40,9460mm","55,7439mm","90","Capacitor"
"C30B","GJM0335C1H1R8WB01","TopLayer","C_0603","50,0976mm","10,3568mm","45","Capacitor"
"C30A","GJM0335C1H1R8WB01","TopLayer","C_0603","50,0976mm","53,9568mm","45","Capacitor"
"C29B","1uF X8R","TopLayer","C_0603","39,5000mm","6,0169mm","270","Capacitor"
"C29A","1uF X8R","TopLayer","C_0603","39,5000mm","49,6169mm","270","Capacitor"
"C28B","GJM0335C1H2R4WB01","TopLayer","C_0603","49,0000mm","11,4000mm","45","Capacitor"
"C28A","GJM0335C1H2R4WB01","TopLayer","C_0603","49,0000mm","55,0000mm","45","Capacitor"
"C27B","10pF X8R","TopLayer","C_0603","43,4340mm","12,2800mm","90","Capacitor"
"C26D","100nF X8R","TopLayer","C_0603","38,7500mm","22,7500mm","180","Capacitor"
"C26C","100nF X8R","TopLayer","C_0603","38,7500mm","36,7500mm","180","Capacitor"
"C26B","100nF X8R","TopLayer","C_0603","38,7500mm","66,2500mm","180","Capacitor"
"C26A","100nF X8R","TopLayer","C_0603","38,7500mm","80,2500mm","180","Capacitor"
"C25D","470nF X8R","TopLayer","C_0603","41,2500mm","27,2500mm","90","Capacitor"
"C25C","470nF X8R","TopLayer","C_0603","41,2500mm","41,2500mm","90","Capacitor"
"C25B","470nF X8R","TopLayer","C_0603","41,2500mm","70,7500mm","90","Capacitor"
"C25A","470nF X8R","TopLayer","C_0603","41,2500mm","84,7500mm","90","Capacitor"
"C24D","GJM0335C1H3R6WB01","TopLayer","C_0603","50,2500mm","22,7500mm","0","Capacitor"
"C24C","GJM0335C1H3R6WB01","TopLayer","C_0603","49,5000mm","32,7500mm","315","Capacitor"
"C24B","GJM0335C1H3R6WB01","TopLayer","C_0603","50,2500mm","66,2500mm","0","Capacitor"
"C24A","GJM0335C1H3R6WB01","TopLayer","C_0603","49,5000mm","76,2500mm","315","Capacitor"
"C23D","1uF X8R","TopLayer","C_0603","45,0000mm","27,2500mm","90","Capacitor"
"C23C","1uF X8R","TopLayer","C_0603","45,0000mm","41,2500mm","90","Capacitor"
"C23B","1uF X8R","TopLayer","C_0603","45,0000mm","70,7500mm","90","Capacitor"
"C23A","1uF X8R","TopLayer","C_0603","45,0000mm","84,7500mm","90","Capacitor"
"C22D","GJM0335C1H3R6WB01","TopLayer","C_0603","50,2500mm","24,5000mm","0","Capacitor"
"C22C","GJM0335C1H3R6WB01","TopLayer","C_0603","50,5000mm","33,7500mm","315","Capacitor"
"C22B","GJM0335C1H3R6WB01","TopLayer","C_0603","50,2500mm","68,0000mm","0","Capacitor"
"C22A","GJM0335C1H3R6WB01","TopLayer","C_0603","50,5000mm","77,2500mm","315","Capacitor"
"C21D","10pF X8R","TopLayer","C_0603","43,2500mm","27,2500mm","90","Capacitor"
"C21C","10pF X8R","TopLayer","C_0603","43,2500mm","41,2500mm","90","Capacitor"
"C21B","10pF X8R","TopLayer","C_0603","43,2500mm","70,7500mm","90","Capacitor"
"C21A","10pF X8R","TopLayer","C_0603","43,2500mm","84,7500mm","90","Capacitor"
"C20B","GJM0335C1H2R1BB01","TopLayer","C_0603","56,7500mm","23,6000mm","90","Capacitor"
"C20A","GJM0335C1H2R1BB01","TopLayer","C_0603","56,7500mm","67,1000mm","90","Capacitor"
"C19B","GRM0335C1H2R7WA01D","TopLayer","C_0603","60,1000mm","37,7500mm","45","Capacitor"
"C19A","GRM0335C1H2R7WA01D","TopLayer","C_0603","60,1000mm","81,2500mm","45","Capacitor"
"C18B","GRM0335C1H100FA01","TopLayer","C_0603","51,8500mm","38,6500mm","270","Capacitor"
"C18A","GRM0335C1H100FA01","TopLayer","C_0603","51,8500mm","82,1500mm","270","Capacitor"
"C17B","39pF C0G","TopLayer","C_0603","54,5000mm","37,7500mm","0","Capacitor"
"C17A","39pF C0G","TopLayer","C_0603","54,5000mm","81,2500mm","0","Capacitor"
"C16B","47pF C0G","TopLayer","C_0603","49,1000mm","40,2500mm","0","Capacitor"
"C16A","47pF C0G","TopLayer","C_0603","49,1000mm","83,7500mm","0","Capacitor"
"C15B","47nF X8R","TopLayer","C_0603","49,1000mm","42,0000mm","0","Capacitor"
"C15A","47nF X8R","TopLayer","C_0603","49,1000mm","85,5000mm","0","Capacitor"
"C14B","100nF X8R","TopLayer","C_0603","31,2500mm","42,0000mm","180","Capacitor"
"C14A","100nF X8R","TopLayer","C_0603","31,2500mm","85,5000mm","180","Capacitor"
"C13B","100nF X8R","TopLayer","C_0603","27,0000mm","21,0000mm","180","Capacitor"
"C13A","100nF X8R","TopLayer","C_0603","27,0000mm","64,5000mm","180","Capacitor"
"C12B","1uF X8R","TopLayer","C_0603","27,0000mm","19,2500mm","180","Capacitor"
"C12A","1uF X8R","TopLayer","C_0603","27,0000mm","62,7500mm","180","Capacitor"
"C11B","100nF X8R","TopLayer","C_0603","22,7500mm","21,0000mm","0","Capacitor"
"C11A","100nF X8R","TopLayer","C_0603","22,7500mm","64,5000mm","0","Capacitor"
"C10B","1uF X8R","TopLayer","C_0603","22,7500mm","19,2500mm","0","Capacitor"
"C10A","1uF X8R","TopLayer","C_0603","22,7500mm","62,7500mm","0","Capacitor"
"C9B","100nF X8R","TopLayer","C_0603","18,5000mm","22,7500mm","0","Capacitor"
"C9A","100nF X8R","TopLayer","C_0603","18,5000mm","66,2500mm","0","Capacitor"
"C8B","1uF X8R","TopLayer","C_0603","18,5000mm","24,5000mm","0","Capacitor"
"C8A","1uF X8R","TopLayer","C_0603","18,5000mm","68,0000mm","0","Capacitor"
"C7B","100nF X8R","TopLayer","C_0603","33,4000mm","26,2500mm","180","Capacitor"
"C7A","100nF X8R","TopLayer","C_0603","33,4000mm","69,7500mm","180","Capacitor"
"C6B","100nF X8R","TopLayer","C_0603","33,4000mm","28,0000mm","180","Capacitor"
"C6A","100nF X8R","TopLayer","C_0603","33,4000mm","71,5000mm","180","Capacitor"
"C5B","100nF X8R","TopLayer","C_0603","14,2500mm","26,2500mm","180","Capacitor"
"C5A","100nF X8R","TopLayer","C_0603","14,2500mm","69,7500mm","180","Capacitor"
"C4B","100nF X8R","TopLayer","C_0603","18,5000mm","29,7500mm","0","Capacitor"
"C4A","100nF X8R","TopLayer","C_0603","18,5000mm","73,2500mm","0","Capacitor"
"C3B","1uF X8R","TopLayer","C_0603","18,5000mm","28,0000mm","0","Capacitor"
"C3A","1uF X8R","TopLayer","C_0603","18,5000mm","71,5000mm","0","Capacitor"
"C2B","100nF X8R","TopLayer","C_0603","27,0000mm","33,2500mm","180","Capacitor"
"C2A","100nF X8R","TopLayer","C_0603","27,0000mm","76,7500mm","180","Capacitor"
"C1B","100nF X8R","TopLayer","C_0603","22,7500mm","33,2500mm","0","Capacitor"
"C1A","100nF X8R","TopLayer","C_0603","22,7500mm","76,7500mm","0","Capacitor"
"J1","SMA RF Connector","TopLayer","SMA_THT_connector","89,0000mm","45,0000mm","0","SMA 50 Ohm military grade THT connector"
"CN2","Barrel Power Connector","TopLayer","PJ002B","8,0000mm","42,6500mm","180","CONN PWR JACK 2.5X5.5MM SOLDER"
"CN1","Generic 1x8 Connector","TopLayer","Header_M_1x8_0.1"","5,1270mm","68,9370mm","270","Connector Generic 8 Vias"
